"Date","Time (GMT)","Predicted (ft)","Preliminary (ft)","Verified (ft)"
"2020/06/01","00:00","5.677","-","5.6"
"2020/06/01","01:00","4.883","-","4.85"
"2020/06/01","02:00","3.699","-","3.66"
"2020/06/01","03:00","2.523","-","2.48"
"2020/06/01","04:00","1.602","-","1.39"
"2020/06/01","05:00","0.92","-","0.61"
"2020/06/01","06:00","0.521","-","0.17"
"2020/06/01","07:00","0.865","-","0.87"
"2020/06/01","08:00","2.142","-","2.6"
"2020/06/01","09:00","3.704","-","4.12"
"2020/06/01","10:00","4.91","-","5.35"
"2020/06/01","11:00","5.651","-","6.08"
"2020/06/01","12:00","5.807","-","6.17"
"2020/06/01","13:00","5.219","-","5.58"
"2020/06/01","14:00","4.089","-","4.4"
"2020/06/01","15:00","2.826","-","3.14"
"2020/06/01","16:00","1.75","-","2.06"
"2020/06/01","17:00","0.932","-","1.15"
"2020/06/01","18:00","0.311","-","0.51"
"2020/06/01","19:00","0.209","-","0.2"
"2020/06/01","20:00","1.106","-","1.32"
"2020/06/01","21:00","2.717","-","3.2"
"2020/06/01","22:00","4.268","-","4.82"
"2020/06/01","23:00","5.423","-","5.95"
"2020/06/02","00:00","6.07","-","6.41"
"2020/06/02","01:00","5.956","-","6.3"
"2020/06/02","02:00","5.09","-","5.4"
"2020/06/02","03:00","3.85","-","4.01"
"2020/06/02","04:00","2.638","-","2.74"
"2020/06/02","05:00","1.657","-","1.72"
"2020/06/02","06:00","0.852","-","0.86"
"2020/06/02","07:00","0.338","-","0.18"
"2020/06/02","08:00","0.656","-","0.3"
"2020/06/02","09:00","1.932","-","1.98"
"2020/06/02","10:00","3.487","-","3.65"
"2020/06/02","11:00","4.753","-","5.02"
"2020/06/02","12:00","5.595","-","5.94"
"2020/06/02","13:00","5.786","-","6.2"
"2020/06/02","14:00","5.167","-","5.64"
"2020/06/02","15:00","4.003","-","4.33"
"2020/06/02","16:00","2.732","-","3.02"
"2020/06/02","17:00","1.665","-","1.91"
